dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,KMeans,1,max_fold_enrichment,0.05,9.484723854289072
D17 Human_Kidney_Cancer,KMeans,1,max_fold_enrichment,0.5,12.11936936936937
D17 Human_Kidney_Cancer,KMeans,1,max_fold_enrichment,0.95,17.451891891891893
D17 Human_Kidney_Cancer,KMeans,1,max_fold_enrichment,0.99,21.814864864864866
D17 Human_Kidney_Cancer,KMeans,1,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,1,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,KMeans,1,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,KMeans,1,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,KMeans,1,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,1,top3_capture,0.01,0.05405405405405406
D17 Human_Kidney_Cancer,KMeans,1,top3_capture,0.05,0.06756756756756757
D17 Human_Kidney_Cancer,KMeans,1,top3_capture,0.5,0.08108108108108109
D17 Human_Kidney_Cancer,KMeans,1,top3_capture,0.95,0.10810810810810811
D17 Human_Kidney_Cancer,KMeans,1,top3_capture,0.99,0.12162162162162163
D17 Human_Kidney_Cancer,KMeans,1,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,KMeans,1,hhi,0.05,0.01497443389335282
D17 Human_Kidney_Cancer,KMeans,1,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,KMeans,1,hhi,0.95,0.01862673484295107
D17 Human_Kidney_Cancer,KMeans,1,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,KMeans,1,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,KMeans,1,normalized_hhi,0.05,0.0006987010512274983
