dataset,method,seed,metric,observed,null_mean,null_sd,null_q95,empirical_p,z_score,empirical_p_bh_within_run
D17 Human_Kidney_Cancer,SEACells,2,max_purity,0.21428571428571427,0.11649784984460851,0.053164766510806094,0.25,0.05729427057294271,1.8393359147214485,0.05729427057294271
D17 Human_Kidney_Cancer,SEACells,2,max_fold_enrichment,46.746138996138995,25.41384851407453,11.597821970053282,54.53716216216216,0.05729427057294271,1.8393359147214485,0.05729427057294271
D17 Human_Kidney_Cancer,SEACells,2,top1_capture,0.08108108108108109,0.01642432432432432,0.006548497541957542,0.02702702702702703,9.999000099990002e-05,9.873525391509718,0.00014998500149985002
D17 Human_Kidney_Cancer,SEACells,2,top3_capture,0.20270270270270271,0.050767567567567576,0.012546043425068452,0.08108108108108109,9.999000099990002e-05,12.110203192151484,0.00014998500149985002
D17 Human_Kidney_Cancer,SEACells,2,hhi,0.0325054784514244,0.01765175310445581,0.0012935707614802907,0.019722425127830543,9.999000099990002e-05,11.482731203641933,0.00014998500149985002
D17 Human_Kidney_Cancer,SEACells,2,normalized_hhi,0.011005600194789389,0.0020057307364321417,0.0007162307891060288,0.003281083476032529,9.999000099990002e-05,12.565599797225321,0.00014998500149985002
D17 Human_Kidney_Cancer,KMeans,0,max_purity,0.1590909090909091,0.06271819363459802,0.030086989162845044,0.08695652173913043,0.0201979802019798,3.20313591149637,0.0201979802019798
D17 Human_Kidney_Cancer,KMeans,0,max_fold_enrichment,34.70546683046683,13.681889187071835,6.563436027781185,18.969447708578144,0.0201979802019798,3.2031359114963696,0.0201979802019798
D17 Human_Kidney_Cancer,KMeans,0,top1_capture,0.0945945945945946,0.028639189189189194,0.008889291300865812,0.04054054054054054,9.999000099990002e-05,7.419647210681618,0.00014998500149985002
D17 Human_Kidney_Cancer,KMeans,0,top3_capture,0.28378378378378377,0.08083513513513514,0.014081167568169406,0.10810810810810811,9.999000099990002e-05,14.412771360481194,0.00014998500149985002
D17 Human_Kidney_Cancer,KMeans,0,hhi,0.06464572680788896,0.016838787436084742,0.0011239718607484858,0.018991964937910888,9.999000099990002e-05,42.533929043355386,0.00014998500149985002
D17 Human_Kidney_Cancer,KMeans,0,normalized_hhi,0.03541590577063549,0.0016096677761806442,0.0006037015266776153,0.0027361305419024177,9.999000099990002e-05,55.99826487188566,0.00014998500149985002
D17 Human_Kidney_Cancer,KMeans,1,max_purity,0.16279069767441862,0.057940595861949065,0.011982084279436011,0.08,9.999000099990002e-05,8.750572885922379,9.999000099990002e-05
