dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,source_file
D11,GARQ,0,instrumented_legacy,0.05,HSC,0.0075,Rare,15,0.5714285714285714,0.2666666666666666,0.3636363636363636,2,0.55,0.5714285714285714,19.0,49.8,57.0,0.0,0.2666666666666666,1,0.2,0,0.0,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Lymph prog,0.034,Intermediate,68,0.5714285714285714,0.0588235294117647,0.1066666666666666,2,0.75,0.5714285714285714,16.5,100.3,106.0,0.0147058823529411,0.0588235294117647,1,0.05,1,0.05,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,MK/E prog,0.0165,Intermediate,33,0.4583333333333333,0.3333333333333333,0.3859649122807017,2,0.5842105263157895,0.4583333333333333,15.0,87.14999999999999,93.0,0.0,0.3333333333333333,1,0.1,1,0.1,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,NK,0.0445,Intermediate,89,1.0,0.0112359550561797,0.0222222222222222,1,1.0,1.0,17.0,120.1499999999998,153.0,0.0112359550561797,0.0112359550561797,1,0.0333333333333333,1,0.0333333333333333,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Naive CD20+ B,0.0825,Intermediate,165,0.6032608695652174,0.6727272727272727,0.6361031518624641,9,0.6301919880820137,0.6032608695652174,13.5,58.20000000000003,100.0,0.0121212121212121,0.6727272727272727,5,0.25,3,0.15,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Normoblast,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,58.0,77.8,80.0,0.0,0.0,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,57.0,134.44999999999996,153.0,0.0,0.0,0,0.0,0,0.0,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Proerythroblast,0.0805,Intermediate,161,0.7675675675675676,0.8819875776397516,0.8208092485549133,3,0.6648745519713262,0.7675675675675676,41.5,89.75,93.0,0.0,0.8819875776397516,2,0.3333333333333333,2,0.3333333333333333,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,Transitional B,0.0595,Intermediate,119,0.4597156398104265,0.8151260504201681,0.5878787878787879,5,0.5243248902397839,0.4597156398104265,14.0,73.59999999999994,100.0,0.0,0.8151260504201681,2,0.1538461538461538,1,0.0769230769230769,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
D11,GARQ,0,instrumented_legacy,0.05,cDC2,0.021,Intermediate,42,1.0,0.0238095238095238,0.0465116279069767,1,1.0,1.0,11.0,86.39999999999998,106.0,0.0238095238095238,0.0238095238095238,1,0.1111111111111111,1,0.1111111111111111,revision_results/01_size_resolution/smoke/D11/K005_seed0/per_type_metrics_long.csv
