condition,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,51.0,55.0,55.0,0.0,0.0,0,0.0,0,0.0
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,B.Activated,0.0331151781165497,Intermediate,845,0.835030549898167,0.4852071005917159,0.6137724550898204,9,0.8466784452264765,0.835030549898167,47.0,128.69999999999993,660.0,0.0,0.4852071005917159,9,0.12,8,0.1066666666666666
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,B.Naive,0.1615393659129207,Common,4122,0.8969966629588432,0.9781659388646288,0.9358245329000812,76,0.8882768759839612,0.8969966629588432,44.0,111.44999999999996,660.0,0.0329936923823386,0.9781659388646288,75,0.8333333333333334,73,0.8111111111111111
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5263157894736842,0.7142857142857143,0.6060606060606061,2,0.5575757575757576,0.5263157894736842,61.0,2302.499999999998,3126.0,0.0,0.7142857142857143,2,0.2857142857142857,0,0.0
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD14,0.133597209703335,Common,3409,0.9754744525547444,0.9800528014080376,0.977758267486099,37,0.9103849702516332,0.9754744525547444,6.0,105.39999999999988,3126.0,0.0337342329128776,0.9800528014080376,34,0.6938775510204082,32,0.6530612244897959
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD16,0.0062311400242975,Rare,159,0.7835820895522388,0.660377358490566,0.7167235494880546,3,0.6787938380858735,0.7835820895522388,23.5,1770.149999999997,3126.0,0.0,0.660377358490566,3,0.3,1,0.1
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,NK,0.0550221421013442,Intermediate,1404,0.9197278911564626,0.9629629629629628,0.9408489909533748,29,0.9081488475231034,0.9197278911564626,49.0,103.95,149.0,0.1075498575498575,0.9629629629629628,29,0.6041666666666666,29,0.6041666666666666
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.8679245283018868,0.7301587301587301,0.7931034482758621,1,0.8679245283018868,0.8679245283018868,54.0,840.0,3126.0,0.0,0.7301587301587301,1,0.0625,1,0.0625
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Memory,0.2269467413880942,Common,5791,0.8765004616805171,0.6556725954066656,0.7501728736540552,91,0.869028088724847,0.8765004616805171,47.0,65.25,3126.0,0.1015368675530996,0.6556725954066656,88,0.2619047619047619,75,0.2232142857142857
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Naive,0.2074303405572755,Common,5293,0.7259116513489475,0.925184205554506,0.8135227178337071,150,0.7234980835629543,0.7259116513489475,47.0,59.0,103.0,0.0001889287738522,0.925184205554506,147,0.6391304347826087,84,0.3652173913043478
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Effector,0.113375396794294,Common,2893,0.8379809389339923,0.820601451780159,0.8292001397135871,59,0.8280119348746094,0.8379809389339923,48.0,73.29999999999998,3126.0,0.0283442792948496,0.820601451780159,58,0.2697674418604651,48,0.2232558139534883
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Naive,0.0586667711721597,Intermediate,1497,0.8026666666666666,0.8042752171008684,0.8034701368034701,30,0.7999905710213459,0.8026666666666666,47.0,60.0,660.0,0.0,0.8042752171008684,29,0.1620111731843575,27,0.1508379888268156
RNA_thin_0.25,D18,GARQ,0,diagnostic_variant_modality_noise,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,47.5,74.44999999999999,86.0,0.0,0.0,0,0.0,0,0.0
RNA_thin_0.25,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,B.Activated,0.0331151781165497,Intermediate,845,0.8767967145790554,0.5053254437869823,0.6411411411411412,10,0.828702463148313,0.8767967145790554,53.0,89.3,135.0,0.0,0.5053254437869823,9,0.0947368421052631,8,0.0842105263157894
RNA_thin_0.25,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,B.Naive,0.1615393659129207,Common,4122,0.9052937234755416,0.9832605531295489,0.9426677520641936,92,0.908250761361852,0.9052937234755416,49.0,88.64999999999999,135.0,0.0189228529839883,0.9832605531295489,92,0.8518518518518519,87,0.8055555555555556
RNA_thin_0.25,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,56.0,742.75,969.0,0.0,0.0,0,0.0,0,0.0
RNA_thin_0.25,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD14,0.133597209703335,Common,3409,0.976,0.9662657670871224,0.9711084905660378,52,0.9642415642530664,0.976,43.0,125.29999999999936,969.0,0.305368143150484,0.9662657670871224,52,0.8813559322033898,51,0.864406779661017
