variant,run,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Proerythroblast,0.0805,Intermediate,161,0.5770750988142292,0.906832298136646,0.7053140096618358,2,0.6621485943775101,0.5770750988142292,34.5,197.0,249.0,0.0,0.906832298136646,2,0.3333333333333333,1,0.1666666666666666
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,Transitional B,0.0595,Intermediate,119,0.6567164179104478,0.3697478991596639,0.4731182795698924,5,0.852991452991453,0.6567164179104478,26.0,222.0,249.0,0.042016806722689,0.3697478991596639,5,0.4545454545454545,3,0.2727272727272727
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,cDC2,0.021,Intermediate,42,0.625,0.119047619047619,0.1999999999999999,2,0.625,0.625,26.0,344.99999999999966,489.0,0.0,0.119047619047619,1,0.0769230769230769,1,0.0769230769230769
reposition_interval5,D11_reposition_interval5_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,137.5,237.85,249.0,0.0,0.0,0,0.0,0,0.0
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,B1 B,0.0355,Intermediate,71,0.5,0.0140845070422535,0.0273972602739726,1,0.5,0.5,79.0,521.1999999999999,583.0,0.0,0.0140845070422535,0,0.0,0,0.0
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD14+ Mono,0.054,Intermediate,108,0.6859504132231405,0.7685185185185185,0.7248908296943232,4,0.6747421472105016,0.6859504132231405,27.0,469.3999999999999,583.0,0.0,0.7685185185185185,3,0.3333333333333333,2,0.2222222222222222
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD16+ Mono,0.0105,Intermediate,21,1.0,0.0476190476190476,0.0909090909090909,1,1.0,1.0,6.0,63.39999999999996,79.0,0.0476190476190476,0.0476190476190476,1,0.1428571428571428,1,0.1428571428571428
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD4+ T activated,0.076,Intermediate,152,0.3877551020408163,0.125,0.1890547263681592,2,0.3683712121212121,0.3877551020408163,69.5,504.5999999999999,583.0,0.0,0.125,0,0.0,0,0.0
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,274.0,515.7999999999998,583.0,0.0,0.0,0,0.0,0,0.0
reposition_interval10,D11_reposition_interval10_smoke_seed1,D11,GARQ,1,diagnostic_variant_reposition_interval,0.02,CD8+ T,0.4025,Common,805,0.7379830348727615,0.9726708074534162,0.8392282958199357,5,0.7081500929301423,0.7379830348727615,69.5,482.19999999999976,583.0,0.0,0.9726708074534162,5,0.5,3,0.3
