dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,CD8+ T,0.4025,Common,805,0.7230769230769231,0.9925465838509316,0.8366492146596859,17,0.6449520498448026,0.7230769230769231,12.0,228.0,391.0,0.0062111801242236,0.9925465838509316,12,0.5454545454545454,6,0.2727272727272727
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Erythroblast,0.0225,Intermediate,45,0.5,0.0222222222222222,0.0425531914893617,1,0.5,0.5,8.0,107.1,111.0,0.0,0.0222222222222222,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,67.0,177.7,190.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,HSC,0.0075,Rare,15,0.5,0.0666666666666666,0.1176470588235294,1,0.5,0.5,98.0,233.2,244.0,0.0,0.0666666666666666,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Lymph prog,0.034,Intermediate,68,0.4615384615384615,0.088235294117647,0.1481481481481481,2,0.5333333333333333,0.4615384615384615,39.0,288.09999999999985,391.0,0.0,0.088235294117647,1,0.0666666666666666,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,MK/E prog,0.0165,Intermediate,33,0.4285714285714285,0.0909090909090909,0.15,1,0.4285714285714285,0.4285714285714285,98.0,174.2,190.0,0.0,0.0909090909090909,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,39.0,294.3999999999997,391.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Naive CD20+ B,0.0825,Intermediate,165,0.4197183098591549,0.9030303030303032,0.573076923076923,2,0.3838982425047998,0.4197183098591549,11.0,236.3,244.0,0.0,0.9030303030303032,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Normoblast,0.0105,Intermediate,21,1.0,0.1904761904761904,0.32,2,1.0,1.0,11.0,108.4,111.0,0.1904761904761904,0.1904761904761904,2,0.4,2,0.4
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,54.0,210.75,244.0,0.0,0.0,0,0.0,0,0.0
